title,description,general job classification,skills,formal_requirements
Full Stack Engineer,"Location: Remote
Company Overview:SkillFit, a subsidiary of Ideando Inc. is a cutting-edge AI-powered platform that revolutionizes the talent acquisition process by connecting job seekers with recruiters in a seamless and efficient manner. Our mission is to leverage technology to enhance the job search experience for both candidates and employers, ultimately driving better outcomes and reducing frustration in the hiring process.
Position Overview:We are seeking a talented and experienced Freelance Full-Stack Software Engineer to collaborate with our dynamic team on a project basis. The ideal candidate will have a passion for building innovative software solutions, a strong foundation in both front-end and back-end technologies, and a desire to contribute to a fast-paced startup environment.
Key Responsibilities:1. Collaborate with the product team to understand requirements, design solutions, and implement new features and functionalities for SkillFit's platform.2. Develop robust, scalable, and maintainable code across the full stack, including front-end UI components, back-end services, database integrations and API connectivity.3. Participate in code reviews, architectural discussions, and technical planning sessions to ensure code quality, performance, and adherence to best practices.4. Work closely with cross-functional teams, including product management, design, and QA, to deliver high-quality software solutions that meet user needs and business objectives.5. Identify and address technical challenges and opportunities for improvement, proposing innovative solutions and technologies to enhance the platform's capabilities and performance.6. Contribute to a collaborative and inclusive team culture, sharing knowledge, mentoring junior engineers, and actively participating in team meetings and discussions.
Qualifications:- 3+ years of professional experience in software development, with a focus on full-stack web development.- Proficiency in modern programming languages and frameworks, including JavaScript/TypeScript, React, Node.js, Python, and Express.js.- Experience with relational and NoSQL databases, such as PostgreSQL, MongoDB, or similar.- Strong understanding of web development fundamentals, including HTML5, CSS3, and responsive design principles.- Familiarity with cloud platforms and services, such as AWS, Azure, or Google Cloud Platform.- Knowledge of software engineering best practices, including version control, testing, and continuous integration/continuous deployment (CI/CD) pipelines.- Excellent problem-solving skills, attention to detail, and ability to work independently or as part of a team in a fast-paced, agile environment.- Strong communication and collaboration skills, with the ability to effectively communicate technical concepts to non-technical stakeholders.
Benefits:- Competitive compensation based on project scope and duration.- Flexible remote work environment with opportunities for collaboration and networking.- Opportunities to work on exciting projects and contribute to innovative solutions in the talent acquisition industry.- Potential for long-term engagement and ongoing project work based on performance and fit.- Professional development opportunities and support for continued learning and skill development.
Join us in our mission to transform the talent acquisition industry with innovative technology solutions. We highly encourage you to explore our beta product at https://skillfitai.com/ before submitting your application, allowing you to gain a deeper understanding of our mission and objectives. Become a Freelance Full-Stack Software Engineer at SkillFit and make a meaningful impact on the future of hiring!",Software Development / Engineering,"['full-stack web development', 'JavaScript/TypeScript', 'React', 'Node.js', 'Python', 'Express.js', 'relational databases', 'NoSQL databases', 'HTML5', 'CSS3', 'responsive design principles', 'cloud platforms', 'AWS', 'Azure', 'Google Cloud Platform', 'software engineering best practices', 'version control', 'testing', 'continuous integration/continuous deployment (CI/CD) pipelines']","['3+ years of professional experience in software development', 'Proficiency in modern programming languages and frameworks', 'Experience with relational and NoSQL databases', 'Strong understanding of web development fundamentals', 'Familiarity with cloud platforms and services', 'Knowledge of software engineering best practices']"
Computer Scientist,"Are you passionate about developing cutting-edge software for deep space communication and navigation systems? Are you ready to jumpstart your career and become a part of our core team?If so, we have an exciting opportunity for you! We are seeking a talented Computer Scientist on a voluntary (unpaid) basis to join our dynamic team and contribute to the creation of an innovative mobile application to support a NASA project.You will collaborate with a talented team of engineers, software developers, and product managers to turn the idea into feature-rich and secured software. ",Software Development / Engineering,"['software development', 'deep space communication', 'navigation systems', 'mobile application development']","[""Bachelor's degree in Computer Science or related field""]"
Front end specialist,"Regional law firm looking for a candidate with uncommon initiative, drive, and customer service skills. This is a client facing role, which means you will be representing us to our clients. We take that seriously and expect you to. Ideal candidates will have superior phone sales experience, passion for closing sales, strong interpersonal skills, and quality work ethic. The position requires exceptional communication and organizational skills, ability to multitask, and attention to detail. This is a career position - it is demanding and fulfilling. Our work environment is fun but very fast paced. If you are looking for a position where you will have time to use your cell phone on the clock, this isn't it. Average candidates need not apply, we are looking for exceptional.
**FAIR WARNING DISCLAIMER - IF CHOSEN FOR THIS ROLE, YOU WILL HAVE A 90 DAY TRIAL PERIOD. IF YOU ARE RETAINED AFTER THIS PERIOD, YOU WILL BE ELIGIBLE FOR THE PERFORMANCE INCENTIVES/ BENEFITS. WE DO NOT GUARANTEE THAT YOU WILL BE RETAINED FOR THE FULL 90 DAYS IF YOU ARE NOT PERFORMING OR SUFFICIENTLY IMPROVING**
Responsibilities include:- Answering and managing incoming phone calls- Properly setting appointments on the appropriate calendar- Communicating with clients regarding case statuses- Greeting clients as they enter the office and serving refreshments- Communicating professionally with all parties who contact the firm-Maintaining notes and statuses based on your effortsBenefits available after 90 day trial include PTO, Health, Vision, Dental insurance, and other coverage. 401(k) with match available after first anniversary. Incentive pay based on performance.",Software Development / Engineering,"['phone sales', 'customer service', 'interpersonal skills', 'quality work ethic', 'exceptional communication', 'organizational skills', 'multitasking', 'attention to detail']","['superior phone sales experience', 'passion for closing sales', 'strong interpersonal skills', 'ability to multitask', 'exceptional communication', 'quality work ethic']"
Intern- Business Analytics,"Summer Internshipadidas & Carhartt kids DivisionLT Apparel- Greensboro, NC Location
We are a leading apparel company that is constantly innovating and seeking new ways to improve. We are looking for a bright and motivated intern to join our team and help us streamline our costing process and build powerful predictive models.
Responsibilities:· Partner with the global sourcing team to review and analyze current costing models and identify areas to improve process efficiency.· Build and implement predictive product costing models.· Conduct data analysis to identify trends and patterns in material and production costs across various sourcing regions.Qualifications:· Candidate must be currently enrolled in an MBA program with a focus in data analytics.· Proven track record of academic excellence, with a strong understanding of data analysis, modeling, and visualization techniques.· Familiarity with data visualization tools (e.g., Tableau, Power BI).· Expertise in Microsoft Excel, including advanced formulas and functions.· A passion for working with data and an ability to translate complex information into actionable insights.· Excellent communication and interpersonal skills, with the ability to work effectively in a team environment.· A creative and innovative approach to problem-solving is a plus.
What we offer:This internship offers a unique opportunity to gain valuable experience in the fast-paced world of apparel manufacturing and data analysis while working with two established brands. You will work alongside industry experts in both sourcing and data, learning from the best in the business. We provide a competitive internship stipend and a fun and collaborative work environment.To Apply:Please submit your resume to catherine.lim@ltapparel.com.",Data & Analytics,"['data analysis', 'modeling', 'visualization', 'Microsoft Excel', 'Tableau', 'Power BI']","['MBA program with a focus in data analytics', 'Proven track record of academic excellence', 'Familiarity with data visualization tools', 'Expertise in Microsoft Excel', 'Passion for working with data', 'Excellent communication and interpersonal skills']"
Project Engineer,"JOB DESCRIPTION:The Project Engineer assists the Superintendents and Project Managers in field work support, estimating, procurement, preparing reports, subcontracts, and providing overall support in every aspect of each project. Attention to detail and excellent communication skills are a must. Upcoming residential projects are located on Hawaii Island.Skills & ExperienceConstruction/Civil Engineering, Architecture or Project Management degrees preferredExcellent working knowledge of construction procedures, building systems and toolsAbility to solve problems and work under pressureKnowledgeable at reading plans, shop drawings and specificationsExcellent math and computer skillsAbility to effectively communicate with workers and trades.Knowledge of MS Office, Bluebeam, and Procore",Project Management,"['Construction/Civil Engineering', 'Architecture', 'Project Management']","[""Bachelor's degree in Construction/Civil Engineering, Architecture or Project Management preferred"", 'Excellent working knowledge of construction procedures, building systems and tools', 'Ability to solve problems and work under pressure', 'Knowledgeable at reading plans, shop drawings and specifications', 'Excellent math and computer skills', 'Ability to effectively communicate with workers and trades', 'Knowledge of MS Office, Bluebeam, and Procore']"
Data Architect,"Request: Data ArchitectLocation: San Francisco, CA HybridDuration: Contract Job description:AWS services like EC2, S3, Lambda, Glue, athena, Kinesis datastreams, Kinesis Firehose, etcETL & Data Warehousing concepts with hands-on experience SQL, Redshift, Python , SPARK and JSONAPI-based integration and security Cloud computing and Big data concepts Thanks,sunil.k@saxonglobal.com",Data & Analytics,"['AWS', 'EC2', 'S3', 'Lambda', 'Glue', 'Athena', 'Kinesis', 'Data Warehousing', 'ETL', 'SQL', 'Redshift', 'Python', 'SPARK', 'JSON', 'API-based integration', 'Security']",['Contract']
Java architect / Lead Java developer,"Position: Java architect / Lead Java developerLocation: New Jersey (Day one Onsite)Position Type: Full-Time
Skills Require: Java, Microservices, Rest Api, Web services, UI - React JS, Redux, Micro frontend, Typescript, React.js Job Description:· Strong Experience on Java Platform.· Hands on Java React and backend with architect exposure ( Lead or engineering manager) with offshore and onsite experience.
Please share your updated Resume at deepak.badhwar@nlbtech.com",Technical Architecture,"['Java', 'Microservices', 'Rest Api', 'Web services', 'UI - React JS', 'Redux', 'Micro frontend', 'Typescript', 'React.js']","['Strong Experience on Java Platform', 'Hands on Java React and backend with architect exposure ( Lead or engineering manager) with offshore and onsite experience']"
Enterprise Data & Analytics Infrastructure Manager,"The Enterprise Data Infrastructure and Analytics manager will lead a team of talented and highly motivated engineers to strengthen our infrastructure support of KeyBank’s data and analytics program. This individual will work to drive out stability, build a talent pipeline, ensure the stability and security of our Enterprise Data and Analytics platforms and help drive modernization of our overall infrastructure program.
Reach out for more details
",Data & Analytics,"['data infrastructure', 'analytics', 'team management', 'infrastructure support', 'stability', 'security']","[""Bachelor's degree in Computer Science, Information Technology or related field"", '5+ years of experience in data infrastructure and analytics', 'Proven track record of leading teams and driving modernization initiatives']"
Senior Software Engineer,"StyleAI is the AI-powered, all-in-one unified marketing platform for businesses and ambitious marketing teams. Thousands of companies rely on Style to manage their SEO strategies, Google Ads campaigns, and websites in real time. Based in San Francisco, StyleAI offers three turnkey products: Seona, Crafta, and Adwin, helping businesses automate their entire digital marketing strategy. We are looking to rapidly scale and hire exceptional technical talent. Some information about us:Strategic investors: Raised over $6M from a great investing team including HOF Capital, Avenir, General Catalyst, etc. We are also partnered with the SEO industry leader Semrush and data analytics platform SimilarWeb.Exceptional product market fit: We have seen rapid growth since our inception, going from $0→3M ARR in the last 12 months.Strong talent density: Our team was founded by 2 Berkeley dropouts and consists of high-impact, team players with exceptional technical skills. Our team has turned down offers from Airbnb, Microsoft, Pinterest, IMC Trading, CrowdStrike, Shopify, Palantir, and Cisco to pursue our own vision instead.
Our mission is to democratize digital marketing for all businesses. With StyleAI, it's easier than ever for small businesses to establish a strong online presence.
About the RoleAs an early member of the engineering team at StyleAI, you will own and lead engineering projects that define the user experience of our various product lines. You’ll be responsible for much of the development of our core product offerings: Crafta, Seona, or Adwin.We are a cross-functional team with a culture of collaboration and ownership - we highly encourage developers to resonate with customers, provide infrastructure input, and take-part in strategic product discussions. If any of this resonates with you, this role might be right for you.This role is based in San Francisco, CA. We are full in-person and offer relocation assistance to prospective employees.
ResponsibilitiesBuild intuitive, user-first web apps that can scale with our user base.Work collaboratively with the rest of the engineering team to deliver infrastructure for core and emerging productsSolve complex technical problems, either independently or collaboratively, to deliver innovative solutions that provide customer value and directly impact key business metrics.Understanding and willingness to maintain our core infrastructure.Ensure all code being pushed to the production (across the team) is excellent.
Qualifications8+ years of experience in software development and extremely strong track record, launching innovative products from 0→1 and at scaleStartup mindset - Scrappy, intelligent, and entrepreneurially minded individuals interested in joining a fast paced startup and looking for early ownership and growth.Tech stack experience - Our tech stack includes Typescript/Javascript on the frontend, Golang in the backend, a job queuing system with Kafka, PostgreSQL as our database and cloud hosting with GCP. Experience with Golang and GCP is a bonus.Strong knowledge of SMB and consumer tools - experience with world-class teams in this space is a plus.Track record of shipping and scaling SaaS products, strong attention to detail.
CompensationThe expected range of compensation for this role is $200,000+. Additionally, this role will participate in our equity plan. This salary range may be inclusive of several career levels at StyleAI and will be narrowed during the interview process based on a number of factors such as scope and responsibilities, the candidate’s experience and qualifications, and onboarding.
Useful links:Website: https://usestyle.ai/We practice our tenets religiously: https://usestyle.ai/tenetsLearn more about our company culture here: https://usestyleai.notion.site/StyleAI-Mission-Vision-Tenets-e948703d845043b49bc1dc3015d00c6e",Software Development / Engineering,"['software development', 'innovative product launch', 'SMB and consumer tools', 'Golang', 'GCP', 'Typescript/Javascript', 'Kafka', 'PostgreSQL', 'cloud hosting']","['8+ years of experience in software development', 'Strong track record, launching innovative products from 0→1 and at scale', 'Startup mindset - Scrappy, intelligent, and entrepreneurially minded individuals', 'Tech stack experience with Typescript/Javascript on the frontend, Golang in the backend, a job queuing system with Kafka, PostgreSQL as our database and cloud hosting with GCP', 'Strong knowledge of SMB and consumer tools', 'Experience with world-class teams in this space is a plus', 'Track record of shipping and scaling SaaS products', 'Strong attention to detail']"
Web Developer,"We are looking to fill multiple Case Manger positions. The ideal candidate will:Provide onsite outreach services weekly to 120-150 unduplicated low-income clients with complex needs. Offer assistance through food distribution outreach, appointments, walk-ins, and phone calls. Conduct formal assessments of clients' needs, provide referrals, coordinate services with agencies, and ensure follow-up in-person or virtually. Deliver one-on-one case management to at least 60 clients monthly, focusing on economic mobility and resilience. Employ multilingual case managers to ensure equitable service access for all clients, including those with disabilities or language barriers. Assist clients with application completion and submission, targeting those facing language, literacy, or technical barriers. Schedule services across Up-County, Mid-County, and Down-County/East County areas in collaboration with County services and partner organizations. Coordinate with hosting sites to align service schedules and participate in team meetings for collaboration and community rapport. Develop and implement a case management supervision plan approved by the County. Participate in County-requested meetings, training opportunities, and activities. Stay informed about current services and programs for low-income and immigrant residents, maintaining partnerships with other organizations for referrals and resource sharing. 
",Software Development / Engineering,"['case management', 'outreach services', 'food distribution outreach', 'appointments', 'walk-ins', 'phone calls', 'formal assessments', 'referrals', 'service coordination', 'economic mobility', 'resilience', 'multilingual case management', 'equitable service access', 'disability support', 'language barriers', 'application completion', 'submission assistance', 'scheduling services', 'team collaboration', 'supervision planning', 'training and professional development']","[""Bachelor's degree in Social Work, Counseling, or related field preferred"", '2+ years of case management experience required', ""Valid driver's license and reliable transportation"", 'Bilingual or multilingual skills (English/Spanish) a plus', 'Ability to work independently and as part of a team', 'Strong communication and interpersonal skills', 'Flexibility to work varied schedules, including evenings and weekends']"
